City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,remire-montjoly,4.9167,-52.2667,26.02,89,55,2.06,GF,1726542418
161,flying fish cove,-10.4217,105.6791,26.82,78,75,4.12,CX,1726542419
162,ushuaia,-54.8,-68.3,6.81,76,40,8.23,AR,1726542316
163,klyuchi,52.2667,79.1667,6.73,67,6,5.13,RU,1726542421
164,belmonte,-15.8631,-38.8828,22.87,84,4,3.41,BR,1726542422
165,rongelap,11.1635,166.8941,28.6,74,5,3.77,MH,1726542423
166,minas de marcona,-15.2119,-75.1103,12.24,79,7,3.87,PE,1726542424
167,margaret river,-33.95,115.0667,18.03,55,0,2.62,AU,1726542425
168,gamba,-2.65,10.0,23.61,90,100,2.92,GA,1726542426
169,san patricio,28.017,-97.5169,25.97,75,0,3.7,US,1726542428
170,ambon,-3.6954,128.1814,30.08,79,40,3.09,ID,1726542429
171,berezovo,63.9381,65.0419,14.23,87,99,2.54,RU,1726542430
172,kouroussa,10.65,-9.8833,21.12,98,97,1.64,GN,1726542431
173,bedesa,8.9,40.7833,16.83,89,100,1.03,ET,1726542432
174,eyl,7.9803,49.8164,25.91,78,57,7.7,SO,1726542433
175,untsukul',42.7115,46.7866,13.85,75,100,0.87,RU,1726542434
176,luau,-10.7073,22.2247,19.89,30,2,1.47,AO,1726542435
177,kargasok,59.0556,80.8572,7.38,61,100,3.69,RU,1726542436
178,lucapa,-8.4192,20.7447,19.43,77,3,1.27,AO,1726542437
179,chibougamau,49.9168,-74.3659,18.01,87,23,3.87,CA,1726542438
180,bhandara,21.1667,79.65,24.33,89,100,3.96,IN,1726542439
181,howrah,22.5892,88.3103,30.0,84,75,4.63,IN,1726542440
182,dapa,9.7594,126.0531,29.59,70,100,7.03,PH,1726542442
183,chulym,55.0997,80.9572,6.0,69,7,2.47,RU,1726542443
184,nogliki,51.8333,143.1667,17.32,58,99,6.1,RU,1726542444
185,hithadhoo,-0.6,73.0833,28.71,75,88,3.69,MV,1726542445
186,taoudenni,22.6783,-3.9836,34.08,29,12,3.57,ML,1726542446
187,sohag,26.557,31.6948,28.54,41,0,2.49,EG,1726542447
188,port lincoln,-34.7333,135.8667,17.03,43,0,2.66,AU,1726542395
189,ipora,-16.4419,-51.1178,25.59,45,14,3.46,BR,1726542452
190,nyurba,63.2842,118.3319,6.54,57,99,6.0,RU,1726542455
191,tazovsky,67.4667,78.7,4.9,94,90,3.28,RU,1726542456
192,port alfred,-33.5906,26.891,14.54,91,79,1.48,ZA,1726542457
193,puerto leguizamo,-0.1934,-74.7819,23.23,94,45,0.41,CO,1726542458
194,ghanzi,-21.5667,21.7833,19.55,28,54,3.81,BW,1726542459
195,vrangel',42.7297,133.0839,21.11,75,34,4.28,RU,1726542460
196,la ronge,55.1001,-105.2842,14.74,56,99,3.04,CA,1726542461
197,voss,60.623,6.4229,10.29,94,100,0.08,NO,1726542462
198,mugia,43.1041,-9.2179,15.51,58,6,9.8,ES,1726542464
199,tateyama,34.9833,139.8667,27.88,78,13,3.9,JP,1726542465
200,meadow lakes,61.6247,-149.6011,10.93,89,75,2.06,US,1726542466
201,llanes,43.4198,-4.7549,15.33,68,100,3.72,ES,1726542467
202,tionk essil,12.7856,-16.5217,23.93,93,98,3.94,SN,1726542468
203,kitob,39.0843,66.8332,17.97,56,42,1.25,UZ,1726542469
204,jamestown,42.097,-79.2353,18.8,75,0,1.54,US,1726542470
205,aykhal,66.0,111.5,1.59,98,100,6.95,RU,1726542471
206,sechura,-5.5569,-80.8222,16.97,83,56,5.65,PE,1726542472
207,scottburgh,-30.2867,30.7532,17.87,89,100,0.54,ZA,1726542474
208,udachny,66.4167,112.4,4.47,76,100,8.08,RU,1726542475
209,syanno,54.8106,29.7069,12.72,59,5,3.44,BY,1726542476
210,alaghsas,17.0187,8.0168,29.23,48,100,4.5,NE,1726542478
211,tikamgarh,24.745,78.8333,24.11,85,98,3.12,IN,1726542479
212,kingscliff,-28.2667,153.5667,22.75,53,0,8.23,AU,1726542480
213,saudarkrokur,65.7461,-19.6394,6.15,87,97,2.33,IS,1726542481
214,gobabis,-22.45,18.9667,10.66,19,0,3.98,NA,1726542482
215,galax,36.6612,-80.924,14.08,96,100,3.6,US,1726542483
216,ust-nera,64.5667,143.2,5.46,57,99,3.09,RU,1726542485
217,tual,-5.6667,132.75,26.81,83,88,6.49,ID,1726542486
218,cadale,2.7603,46.3222,25.06,90,20,5.69,SO,1726542487
219,cavalaire-sur-mer,43.174,6.5272,12.4,69,94,0.66,FR,1726542488
220,embi,48.8264,58.1442,9.06,44,0,8.68,KZ,1726542489
221,port blair,11.6667,92.75,28.02,89,75,3.09,IN,1726542491
222,kodiak,57.79,-152.4072,13.73,58,0,5.66,US,1726542492
223,perry,37.2506,-83.1999,17.85,58,100,1.52,US,1726542493
224,la sarre,48.8002,-79.1996,21.54,61,88,3.9,CA,1726542494
225,hirosaki,40.5931,140.4725,18.99,88,100,1.11,JP,1726542495
226,yuzhno-kurilsk,44.0306,145.8556,17.64,92,100,5.48,RU,1726542496
